matrix
3
(0.707106781186547,0) (0.5,0.5) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0.707106781186547) (0.5,-0.5)
(0,0) (0,0) (0,0) (0,0) (0.5,-0.5) (0.707106781186547,0) (0,0) (0,0)
(0,0) (0,0) (-0.5,-0.5) (0,0.707106781186547) (0,0) (0,0) (0,0) (0,0)
(0.5,0.5) (0,-0.707106781186547) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0.5,0.5) (0,0.707106781186547)
(0,0) (0,0) (0,0) (0,0) (-0.707106781186547,0) (0.5,0.5) (0,0) (0,0)
(0,0) (0,0) (0.707106781186547,0) (0.5,0.5) (0,0) (0,0) (0,0) (0,0)
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
